STATION_ID,EXTERNAL_LOCATION_ID,EXTERNAL_PARAMETER_ID,TIMESTEP_HOUR,UNIT,IMPORT_SOURCE,THRESHOLD_LOW,THRESHOLD_YELLOW,THRESHOLD_ORANGE,THRESHOLD_RED,THRESHOLD_WATERINTAKE,THRESHOLD_NAVIGATION,THRESHOLD_MEAN,THRESHOLD_P05,THRESHOLD_P10,THRESHOLD_P90,THRESHOLD_P95,IMPORT,LATITUDE,LONGITUDE,ALTITUDE,TYPE,COUNTRY,ORGANIZATION,SUBBASIN
8,8,40,24.0,m^3/s,INA,,,,,,,,,,,,True,-25.5833333333333,-53.9833333333333,,,Argentina,INA,Rio Parana
20,20,40,24.0,m^3/s,INA,,,,,,,18099.4373105575,13490.388960041,,,27665.0848595458,True,-27.4833333333333,-58.9333333333333,,,Argentina,INA,Rio Parana
29,29,40,24.0,m^3/s,INA,,,,,,,,,,,,True,-31.7182378629681,-60.5225697750899,,,Argentina,INA,Rio Parana
30,30,40,24.0,m^3/s,INA,,,,,,,18890.6883564933,12670.8393634734,,,33122.2865383794,True,-31.6514772196376,-60.7002319185745,,,Argentina,INA,Rio Parana
34,34,40,24.0,m^3/s,INA,,,,,,,,,,,,True,-32.9432699442268,-60.6308206029857,,,Argentina,INA,Rio Parana
55,55,40,24.0,m^3/s,INA,,,,,,,3323.90244113943,1676.01377710228,,,7319.95950600879,True,-25.3666666666667,-57.65,,,Argentina,INA,Rio Paraguay
57,57,40,24.0,m^3/s,INA,,,,,,,,,,,,True,-26.1833333333333,-58.1833333333333,,,Argentina,INA,Rio Paraguay
61,61,40,24.0,m^3/s,INA,,,,,,,1567.53551912568,385.868852459016,,,6664.95218579235,True,-27.3,-54.2,,,Argentina,INA,Rio Uruguay
65,65,40,24.0,m^3/s,INA,,,,,,,1566.61960389184,424.329234972678,,,7496.88601301016,True,-27.8833333333333,-55.1333333333333,,,Argentina,INA,Rio Uruguay
67,67,40,24.0,m^3/s,INA,,,,,,,2010.13688551272,619.010245901639,,,8924.36031287355,True,-28.1833333333333,-55.65,,,Argentina,INA,Rio Uruguay
68,68,40,24.0,m^3/s,INA,,,,,,,2079.48770491803,721.323770491803,,,8931.72404371585,True,-28.55,-56.0333333333333,,,Argentina,INA,Rio Uruguay
72,72,40,24.0,m^3/s,INA,,,,,,,3477.24726775956,991.863387978142,,,12239.2459016393,True,-29.7166666666667,-57.0833333333333,,,Argentina,INA,Rio Uruguay
77,77,40,24.0,m^3/s,INA,,,,,,,4168.85109289618,923.427595628415,,,15006.3101092896,True,-31.27547,-57.936945,,,Argentina,INA,Rio Uruguay
78,78,40,24.0,m^3/s,INA,,,,,,,,,,,,True,-31.27547,-57.936945,,,Argentina,INA,Rio Uruguay
79,79,40,24.0,m^3/s,INA,,,,,,,3790.05142362001,928.326365986808,,,14148.0724283854,True,-31.4,-58.0166666666667,,,Argentina,INA,Rio Uruguay
87,87,40,24.0,m^3/s,INA,,,,,,,,,,,,True,-27.482557,-56.727244,,,Argentina,INA,Rio Parana
88,88,40,24.0,m^3/s,INA,,,,,,,13497.5409836066,9900.81967213115,,,22712.5683060109,True,-27.482557,-56.727244,,,Argentina,INA,Rio Parana
92,92,40,24.0,m^3/s,INA,,,,,,,,,,,,True,-25.4,-54.583,,,Argentina,INA,Rio Parana
93,93,40,24.0,m^3/s,INA,,,,,,,,,,,,True,-25.592701,-54.593363,,,Argentina,INA,Rio Parana
1035,1035,40,24.0,m^3/s,INA,,,,,,,,,,,,True,-28.177515,-55.642269,,,Argentina,INA,Rio Uruguay
1038,1038,40,24.0,m^3/s,INA,,,,,,,,,,,,True,-27.298582,-54.193437,,,Argentina,INA,Rio Uruguay
2178,2178,40,24.0,m^3/s,INA,,,,,,,,,,,,True,-25.5905555555556,-53.995,,,Argentina,INA,Rio Parana
2203,2203,40,24.0,m^3/s,INA,,,,,,,,,,,,True,-32.3086111111111,-59.0769444444445,,,Argentina,INA,Rio Parana
2205,2205,40,24.0,m^3/s,INA,,,,,,,,,,,,True,-31.8016666666667,-59.1261111111111,,,Argentina,INA,Rio Parana
